titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,nouveau
Pierre Lapin,,,play,,pierrelapin,les-films,,
Pierre Lapin 2 : Panique en Ville ,,,play,,pierrelapin2,les-films,,
Holmes & Watson ,,,play,,holmes_watson,les-films,,
Pixels ,,,play,,pixels ,les-films,,
Les Schtroumpfs ,,,play,,schtroumpfs1,les-films,,
Les Schtroumpfs 2 ,,,play,,schtroumpfs2,les-films,,
Ma Sorcière Bien-Aimée ,,,play,,sorciere,les-films,,
Big Fish,,,play,,fish,les-films,,
Les Choristes ,,,play,,choristes,les-films,,
Roi Lion ,,,play,,lion,les-films,,
La Reine des Neiges ,,,play,,neige,les-films,,
Le grand bêtisier - Meilleurs voeux ,Le 25 décembre à 19h50,,"tvi,play","Pour célébrer les fêtes de Noël dans la joie et la bonne humeur, les animateurs ont rendez-vous dans le bureau du patron de RTL pour leurs vœux de fin d'année. Des vœux qui ne se dérouleront pas comme prévu ! Tout au long de cette soirée placée sous le signe du rire, Sandrine Corman, Emilie Dupuis, Ludo Daxhelet et leurs collègues vont enchaîner les gaffes ! Pendant ce bêtisier plein de surprises, vous allez découvrir les meilleurs moments de cette année 2024 : directs qui dérapent, jeux télé en folie, chutes et boulettes en tous genres... Aucune de vos émissions favorites n’a été épargnée. Installez-vous confortablement et détendez-vous, RTL-TVI s’occupe de tout.",ludo,divertissement,,
